observation_date,RIFSPFFNBWAW
2020-01-01,1.55
2020-01-15,1.55
2020-01-29,1.55
2020-02-12,1.59
2020-02-26,1.58
2020-03-11,1.30
2020-03-25,0.44
2020-04-08,0.07
2020-04-22,0.05
2020-05-06,0.05
2020-05-20,0.05
2020-06-03,0.05
2020-06-17,0.08
2020-07-01,0.08
2020-07-15,0.09
2020-07-29,0.09
2020-08-12,0.10
2020-08-26,0.09
2020-09-09,0.09
2020-09-23,0.09
2020-10-07,0.09
2020-10-21,0.09
2020-11-04,0.09
2020-11-18,0.09
2020-12-02,0.08
2020-12-16,0.09
2020-12-30,0.09
2021-01-13,0.09
2021-01-27,0.09
2021-02-10,0.08
2021-02-24,0.08
2021-03-10,0.07
2021-03-24,0.07
2021-04-07,0.07
2021-04-21,0.07
2021-05-05,0.06
2021-05-19,0.06
2021-06-02,0.06
2021-06-16,0.06
2021-06-30,0.10
2021-07-14,0.10
2021-07-28,0.10
2021-08-11,0.09
2021-08-25,0.09
2021-09-08,0.08
2021-09-22,0.08
2021-10-06,0.08
2021-10-20,0.08
2021-11-03,0.08
2021-11-17,0.08
2021-12-01,0.08
2021-12-15,0.08
2021-12-29,0.08
2022-01-12,0.08
2022-01-26,0.08
2022-02-09,0.08
2022-02-23,0.08
2022-03-09,0.08
2022-03-23,0.21
2022-04-06,0.33
2022-04-20,0.33
2022-05-04,0.33
2022-05-18,0.83
2022-06-01,0.83
2022-06-15,0.83
2022-06-29,1.58
2022-07-13,1.58
2022-07-27,1.58
2022-08-10,2.33
2022-08-24,2.33
2022-09-07,2.33
2022-09-21,2.33
2022-10-05,3.08
2022-10-19,3.08
2022-11-02,3.08
2022-11-16,3.83
2022-11-30,3.83
2022-12-14,3.83
2022-12-28,4.33
2023-01-11,4.33
2023-01-25,4.33
2023-02-08,4.46
2023-02-22,4.58
2023-03-08,4.57
2023-03-22,4.58
2023-04-05,4.83
2023-04-19,4.83
2023-05-03,4.83
2023-05-17,5.08
2023-05-31,5.08
2023-06-14,5.08
2023-06-28,5.07
2023-07-12,5.08
2023-07-26,5.08
2023-08-09,5.33
2023-08-23,5.33
2023-09-06,5.33
2023-09-20,5.33
2023-10-04,5.33
2023-10-18,5.33
2023-11-01,5.33
2023-11-15,5.33
2023-11-29,5.33
2023-12-13,5.33
2023-12-27,5.33
2024-01-10,5.33
2024-01-24,5.33
2024-02-07,5.33
2024-02-21,5.33
2024-03-06,5.33
2024-03-20,5.33
2024-04-03,5.33
2024-04-17,5.33
2024-05-01,5.33
2024-05-15,5.33
2024-05-29,5.33
2024-06-12,5.33
2024-06-26,5.33
2024-07-10,5.33
2024-07-24,5.33
2024-08-07,5.33
2024-08-21,5.33
2024-09-04,5.33
2024-09-18,5.33
2024-10-02,4.83
2024-10-16,4.83
2024-10-30,4.83
2024-11-13,4.72
2024-11-27,4.58
2024-12-11,4.58
2024-12-25,4.46
